	pc1	pc2	group
sims_35_0_0.36.jpg	-15.738388	9.108775	cluster 1
sims_21_0_0.797.jpg	-6.0715494	-10.647967	cluster 1
sims_22_0_0.796.jpg	-6.991043	-11.149365	cluster 1
sims_17_0_0.957.jpg	18.564812	1.4008971	cluster 1
sims_20_0_0.95.jpg	18.213217	6.6341176	cluster 1
sims_9_0_-0.918.jpg	0.77026236	-1.037262	cluster 1
sims_3_0_0.12.jpg	-5.7829494	16.345526	cluster 1
sims_13_0_0.995.jpg	-3.7805588	-2.56006	cluster 1
sims_4_0_0.09.jpg	-5.515835	19.155863	cluster 1
sims_16_0_0.998.jpg	-0.98743504	-4.6843905	cluster 1
sims_33_0_0.363.jpg	-14.83601	4.629193	cluster 1
sims_27_0_0.914.jpg	16.051516	0.9509847	cluster 1
sims_6_0_-0.08.jpg	-12.664871	-10.6342325	cluster 1
sims_36_0_0.329.jpg	-14.883172	9.918882	cluster 1
sims_18_0_0.956.jpg	14.416762	5.0303564	cluster 1
sims_2_0_0.082.jpg	-2.0326605	19.216093	cluster 1
sims_30_0_0.818.jpg	5.504059	-4.623572	cluster 1
sims_25_0_0.916.jpg	8.51086	5.6487336	cluster 2
sims_14_0_0.996.jpg	4.451319	-6.6228123	cluster 1
sims_8_0_0.532.jpg	-11.894141	-9.524118	cluster 1
sims_10_0_-0.9.jpg	11.573167	-8.518441	cluster 1
sims_7_0_0.05.jpg	-11.120567	-9.008813	cluster 1
sims_28_0_0.919.jpg	11.673642	3.3865812	cluster 1
sims_32_0_0.789.jpg	6.1715612	-5.9595966	cluster 1
sims_24_0_0.683.jpg	-6.425125	-10.880753	cluster 1
sims_5_0_0.167.jpg	-15.93454	-4.188925	cluster 1
sims_11_0_-0.911.jpg	7.996998	-8.421942	cluster 1
sims_29_0_0.819.jpg	4.692767	-3.3934991	cluster 1
sims_31_0_0.808.jpg	5.70246	-5.8378453	cluster 1
sims_26_0_0.917.jpg	17.558826	-0.8427564	cluster 1
sims_1_0_0.084.jpg	-6.9588428	7.8431597	cluster 1
sims_15_0_0.997.jpg	-5.6513214	4.581111	cluster 1
sims_19_0_0.948.jpg	17.717419	5.824235	cluster 1
sims_34_0_0.323.jpg	-14.408555	10.962741	cluster 1
sims_12_0_-0.92.jpg	2.205356	-2.3999064	cluster 1
sims_23_0_0.809.jpg	-10.0974455	-9.701006	cluster 1
