	pc1	pc2	group
sims_19_0_0.926.jpg	-14.394993	0.18780813	cluster 2
sims_7_0_0.251.jpg	8.816628	-7.0912776	cluster 2
sims_16_0_0.989.jpg	-1.4137577	-6.8927217	cluster 2
sims_15_0_0.993.jpg	-2.357938	-8.053486	cluster 2
sims_27_0_0.896.jpg	-10.262663	14.307364	cluster 1
sims_10_0_-0.891.jpg	-13.343227	-2.0128837	cluster 2
sims_4_0_0.023.jpg	4.701471	0.14215401	cluster 2
sims_25_0_0.92.jpg	-10.80195	-0.7657626	cluster 2
sims_14_0_0.986.jpg	0.9941093	9.93054	cluster 2
sims_30_0_0.809.jpg	-5.4525933	-1.9546185	cluster 2
sims_34_0_0.336.jpg	11.261406	3.7248378	cluster 2
sims_6_0_0.472.jpg	7.1085773	-8.67939	cluster 2
sims_31_0_0.8.jpg	-2.185383	-5.2820926	cluster 2
sims_36_0_0.422.jpg	12.101886	5.1496406	cluster 2
sims_18_0_0.94.jpg	-14.277281	-2.3051684	cluster 2
sims_21_0_0.756.jpg	6.1244097	-6.05474	cluster 2
sims_11_0_-0.903.jpg	-7.875324	6.9592614	cluster 2
sims_32_0_0.789.jpg	4.147978	-1.5848182	cluster 2
sims_5_0_0.107.jpg	11.377743	-5.3991246	cluster 2
sims_9_0_-0.899.jpg	-9.586897	-0.16007891	cluster 2
sims_13_0_0.99.jpg	-5.06416	-5.6203995	cluster 2
sims_33_0_0.347.jpg	13.175228	4.314704	cluster 2
sims_24_0_0.797.jpg	3.2290223	-7.8390937	cluster 2
sims_20_0_0.951.jpg	-13.154998	1.057328	cluster 2
sims_3_0_0.09.jpg	5.2175016	13.97572	cluster 2
sims_29_0_0.784.jpg	-3.2960374	-3.2673824	cluster 2
sims_8_0_0.408.jpg	7.5102797	-10.311231	cluster 2
sims_26_0_0.933.jpg	-12.226668	-1.4091738	cluster 2
sims_22_0_0.245.jpg	6.478009	-10.98913	cluster 2
sims_1_0_0.123.jpg	14.13077	15.091122	cluster 2
sims_2_0_0.098.jpg	5.622775	20.551031	cluster 2
sims_23_0_0.815.jpg	16.828611	-3.9686346	cluster 2
sims_28_0_0.913.jpg	-11.76815	13.469611	cluster 1
sims_35_0_0.305.jpg	16.80259	0.2087931	cluster 2
sims_17_0_0.962.jpg	-11.983289	-5.971632	cluster 2
sims_12_0_-0.912.jpg	-6.183681	-3.4570816	cluster 2
