	pc1	pc2	group
sims_32_0_0.798.jpg	2.1301596	-3.538472	cluster 1
sims_24_0_0.428.jpg	1.887134	-10.337184	cluster 2
sims_4_0_0.075.jpg	-15.187445	3.817812	cluster 2
sims_19_0_0.957.jpg	19.514797	1.5353576	cluster 1
sims_12_0_-0.9.jpg	7.9236774	5.4031672	cluster 1
sims_14_0_0.994.jpg	0.43736416	-3.4792552	cluster 1
sims_11_0_-0.9.jpg	11.8184	0.7913033	cluster 1
sims_8_0_0.405.jpg	-13.074221	-11.971407	cluster 2
sims_22_0_0.574.jpg	-1.54935	-8.860602	cluster 2
sims_36_0_0.362.jpg	-15.340791	8.190497	cluster 2
sims_33_0_0.452.jpg	-16.853516	3.726924	cluster 2
sims_9_0_-0.912.jpg	11.315105	-2.9696774	cluster 1
sims_35_0_0.372.jpg	-14.923925	7.19247	cluster 2
sims_16_0_0.994.jpg	4.3571825	-6.123032	cluster 1
sims_28_0_0.901.jpg	13.5142975	4.871582	cluster 1
sims_23_0_0.707.jpg	-2.0671506	-10.566871	cluster 2
sims_15_0_0.994.jpg	-0.49367374	-5.6790886	cluster 1
sims_30_0_0.802.jpg	3.000923	-2.0356033	cluster 1
sims_10_0_-0.921.jpg	8.604353	-1.9348457	cluster 1
sims_26_0_0.91.jpg	10.517176	9.6127	cluster 1
sims_6_0_0.255.jpg	-12.770177	-6.101471	cluster 2
sims_34_0_0.371.jpg	-17.94127	11.459822	cluster 2
sims_3_0_0.152.jpg	-7.1253586	14.667794	cluster 2
sims_13_0_0.996.jpg	-6.342143	7.0597553	cluster 2
sims_31_0_0.829.jpg	3.8438773	-7.697207	cluster 1
sims_27_0_0.902.jpg	9.986959	11.120155	cluster 1
sims_25_0_0.906.jpg	15.110046	4.4688606	cluster 1
sims_29_0_0.806.jpg	3.1321452	-5.0951896	cluster 1
sims_2_0_0.086.jpg	-11.831005	3.0909767	cluster 2
sims_1_0_0.085.jpg	-12.019378	12.307211	cluster 2
sims_7_0_-0.104.jpg	-13.129285	-8.742919	cluster 2
sims_20_0_0.961.jpg	13.738885	-0.01948443	cluster 1
sims_21_0_0.385.jpg	-0.11494758	-12.05437	cluster 2
sims_17_0_0.962.jpg	14.107596	2.6438475	cluster 1
sims_5_0_0.364.jpg	-12.77227	-9.0875635	cluster 2
sims_18_0_0.946.jpg	18.595833	4.3340163	cluster 1
