	pc1	pc2	group
sims_7_0_0.577.jpg	22.306955	0.02574623	cluster 2
sims_23_0_0.739.jpg	14.439513	-4.0984764	cluster 2
sims_19_0_0.955.jpg	-12.169357	-12.666443	cluster 1
sims_20_0_0.956.jpg	-11.118217	-1.3890827	cluster 1
sims_4_0_0.077.jpg	-12.290482	13.018322	cluster 1
sims_27_0_0.912.jpg	-18.321299	-2.3958964	cluster 1
sims_8_0_0.665.jpg	15.036795	-3.4706142	cluster 2
sims_13_0_0.998.jpg	3.9612894	-5.3684645	cluster 1
sims_21_0_0.787.jpg	18.969131	1.0161806	cluster 2
sims_30_0_0.825.jpg	-0.62176275	-2.3888214	cluster 1
sims_35_0_0.37.jpg	5.5205564	17.16336	cluster 2
sims_12_0_-0.901.jpg	-4.5876074	-13.379691	cluster 1
sims_34_0_0.381.jpg	5.4896655	15.10276	cluster 2
sims_1_0_0.101.jpg	-9.588287	9.791891	cluster 1
sims_32_0_0.803.jpg	-4.8705387	-4.394737	cluster 1
sims_14_0_0.998.jpg	4.3228908	-7.7466664	cluster 1
sims_15_0_0.998.jpg	0.57827556	-8.312366	cluster 1
sims_10_0_-0.91.jpg	-0.63548976	-8.479	cluster 1
sims_33_0_0.336.jpg	7.0698714	14.684591	cluster 2
sims_25_0_0.925.jpg	-14.535947	-2.813579	cluster 1
sims_6_0_0.554.jpg	16.649826	-4.753152	cluster 2
sims_11_0_-0.911.jpg	-5.549658	-5.398469	cluster 1
sims_17_0_0.952.jpg	-18.333681	-2.6853645	cluster 1
sims_31_0_0.806.jpg	-3.2581072	-4.4518194	cluster 1
sims_22_0_0.877.jpg	16.552706	-2.9898496	cluster 2
sims_5_0_0.673.jpg	20.703321	-1.553047	cluster 2
sims_9_0_-0.904.jpg	-3.3217537	-11.043329	cluster 1
sims_3_0_0.076.jpg	-9.370435	14.858348	cluster 1
sims_16_0_0.999.jpg	8.979435	4.391671	cluster 2
sims_29_0_0.817.jpg	-1.6652725	-11.655941	cluster 1
sims_2_0_0.084.jpg	-8.938935	16.021444	cluster 1
sims_36_0_0.359.jpg	4.3287067	19.054176	cluster 2
sims_24_0_0.679.jpg	12.987409	-5.0652633	cluster 2
sims_28_0_0.931.jpg	-11.227708	-2.9177768	cluster 1
sims_18_0_0.946.jpg	-17.575766	-3.4632683	cluster 1
sims_26_0_0.923.jpg	-9.916056	7.7526226	cluster 1
