	pc1	pc2	group
sims_20_0_0.954.jpg	21.021381	-4.1557565	cluster 1
sims_24_0_0.852.jpg	-18.521574	-5.750538	cluster 2
sims_30_0_0.807.jpg	3.5921154	-2.9358559	cluster 1
sims_6_0_0.658.jpg	-17.382526	-7.766149	cluster 2
sims_19_0_0.955.jpg	18.194944	1.1808479	cluster 1
sims_34_0_0.358.jpg	-7.353014	20.357645	cluster 2
sims_7_0_0.64.jpg	-18.734283	-7.947628	cluster 2
sims_36_0_0.367.jpg	-8.724299	18.260578	cluster 2
sims_2_0_0.088.jpg	12.76205	-2.6912894	cluster 1
sims_32_0_0.815.jpg	4.925769	-2.0194688	cluster 1
sims_8_0_0.777.jpg	-15.479542	-8.113761	cluster 2
sims_12_0_-0.917.jpg	6.2118583	9.912629	cluster 1
sims_28_0_0.922.jpg	17.45128	-4.9448886	cluster 1
sims_3_0_0.106.jpg	15.937666	-1.4273093	cluster 1
sims_35_0_0.367.jpg	-10.429589	14.656415	cluster 2
sims_15_0_1.0.jpg	-14.696799	-3.684856	cluster 2
sims_21_0_0.867.jpg	-20.672182	-5.170816	cluster 2
sims_13_0_1.0.jpg	-15.019858	-2.8261652	cluster 2
sims_25_0_0.921.jpg	15.479058	1.0541656	cluster 1
sims_14_0_1.0.jpg	-13.569752	-1.0183035	cluster 2
sims_1_0_0.083.jpg	11.024342	-2.1195362	cluster 1
sims_4_0_0.094.jpg	12.55046	-0.5971661	cluster 1
sims_31_0_0.813.jpg	6.2194223	-3.2884507	cluster 1
sims_10_0_-0.912.jpg	3.2856517	8.445068	cluster 1
sims_22_0_0.856.jpg	-12.986998	-3.1254663	cluster 2
sims_27_0_0.924.jpg	17.22239	-4.099136	cluster 1
sims_33_0_0.36.jpg	-8.0495405	18.029276	cluster 2
sims_29_0_0.817.jpg	-0.2516943	-4.53454	cluster 1
sims_11_0_-0.915.jpg	-1.4895461	6.819097	cluster 1
sims_18_0_0.959.jpg	25.227982	-2.0656972	cluster 1
sims_17_0_0.958.jpg	24.081438	-0.81689394	cluster 1
sims_26_0_0.918.jpg	15.183688	-7.8172655	cluster 1
sims_5_0_0.586.jpg	-17.912846	-5.457665	cluster 2
sims_23_0_0.866.jpg	-20.180374	-6.194665	cluster 2
sims_16_0_1.0.jpg	-13.114915	-2.77584	cluster 2
sims_9_0_-0.91.jpg	4.1978464	4.629389	cluster 1
