	pc1	pc2	group
sims_7_0_0.103.jpg	0.4329049	10.160624	cluster 2
sims_36_0_0.386.jpg	13.556556	-7.0917206	cluster 1
sims_20_0_0.93.jpg	-13.011065	-3.5635624	cluster 2
sims_19_0_0.949.jpg	-14.149155	-2.168909	cluster 2
sims_15_0_0.992.jpg	1.7131684	0.78593254	cluster 2
sims_14_0_0.989.jpg	2.1976256	-1.1886774	cluster 2
sims_1_0_0.09.jpg	11.941734	-5.6253624	cluster 1
sims_8_0_0.281.jpg	10.790283	8.048778	cluster 2
sims_28_0_0.921.jpg	-7.878297	-13.767639	cluster 2
sims_6_0_0.094.jpg	4.8490505	14.872142	cluster 2
sims_29_0_0.804.jpg	-6.949685	-0.0657396	cluster 2
sims_25_0_0.92.jpg	-11.691285	-3.2651472	cluster 2
sims_23_0_0.549.jpg	8.611892	8.870733	cluster 2
sims_4_0_0.006.jpg	8.668725	-5.1392813	cluster 1
sims_13_0_0.989.jpg	-2.6453855	7.29773	cluster 2
sims_35_0_0.292.jpg	17.729658	-4.0098796	cluster 1
sims_26_0_0.904.jpg	-9.6926365	-5.9405413	cluster 2
sims_24_0_0.537.jpg	-1.8169956	14.083315	cluster 2
sims_32_0_0.812.jpg	-5.2544293	5.2753987	cluster 2
sims_10_0_-0.925.jpg	-6.8315063	-1.538436	cluster 2
sims_33_0_0.421.jpg	13.596953	-6.5030427	cluster 1
sims_5_0_0.284.jpg	6.4313397	9.215448	cluster 2
sims_12_0_-0.903.jpg	-4.138612	-0.8024142	cluster 2
sims_22_0_0.606.jpg	-2.6022768	14.132409	cluster 2
sims_30_0_0.758.jpg	-6.4176574	1.953698	cluster 2
sims_9_0_-0.894.jpg	-4.7614126	-2.4656951	cluster 2
sims_18_0_0.947.jpg	-4.1823816	-11.537471	cluster 2
sims_34_0_0.438.jpg	11.434393	0.2115097	cluster 1
sims_2_0_0.148.jpg	13.49505	-8.794421	cluster 1
sims_27_0_0.928.jpg	-14.53786	-1.7593484	cluster 2
sims_31_0_0.793.jpg	-2.6335452	-3.262462	cluster 2
sims_11_0_-0.91.jpg	-6.1100745	-5.4040637	cluster 2
sims_16_0_0.991.jpg	0.8025144	5.179491	cluster 2
sims_21_0_0.626.jpg	-1.4802927	14.433788	cluster 2
sims_3_0_0.033.jpg	14.006187	-13.669678	cluster 1
sims_17_0_0.938.jpg	-13.473484	-6.957497	cluster 2
