	pc1	pc2	group
sims_1_0_0.009.jpg	6.3341427	-6.528317	cluster 1
sims_15_0_0.992.jpg	4.2945833	-3.2112446	cluster 2
sims_27_0_0.898.jpg	-10.441017	-6.209111	cluster 2
sims_20_0_0.964.jpg	-10.677507	-2.2949371	cluster 2
sims_34_0_0.334.jpg	14.599644	-6.426198	cluster 1
sims_36_0_0.347.jpg	13.044579	-4.464449	cluster 1
sims_13_0_0.991.jpg	-2.3455558	-1.634515	cluster 2
sims_28_0_0.925.jpg	-9.662296	-0.70992804	cluster 2
sims_29_0_0.805.jpg	-4.205565	5.377323	cluster 2
sims_10_0_-0.875.jpg	-5.605114	4.4643435	cluster 2
sims_35_0_0.369.jpg	12.805386	-6.5211253	cluster 1
sims_4_0_0.133.jpg	6.028566	-11.490534	cluster 1
sims_32_0_0.796.jpg	-2.2282717	0.428265	cluster 2
sims_17_0_0.929.jpg	-9.818126	-3.6184223	cluster 2
sims_3_0_0.184.jpg	8.0480175	-8.437449	cluster 1
sims_2_0_0.093.jpg	11.54037	-8.705531	cluster 1
sims_8_0_0.131.jpg	1.6969064	12.82177	cluster 2
sims_19_0_0.935.jpg	-6.761524	-9.861882	cluster 2
sims_7_0_0.178.jpg	7.706207	11.092144	cluster 2
sims_22_0_0.724.jpg	5.562751	13.405075	cluster 2
sims_12_0_-0.903.jpg	-12.657207	3.0254588	cluster 2
sims_30_0_0.758.jpg	0.56128085	-3.5414803	cluster 2
sims_9_0_-0.938.jpg	-1.1343523	-4.6601257	cluster 2
sims_33_0_0.402.jpg	11.758623	-4.3748155	cluster 1
sims_23_0_0.655.jpg	5.541548	6.4442086	cluster 2
sims_25_0_0.909.jpg	-10.594554	-3.21061	cluster 2
sims_31_0_0.829.jpg	-1.3250372	-3.6149843	cluster 2
sims_24_0_0.617.jpg	3.1660945	11.056677	cluster 2
sims_5_0_0.332.jpg	10.851123	11.138444	cluster 2
sims_18_0_0.941.jpg	-10.124479	-6.4820333	cluster 2
sims_11_0_-0.905.jpg	-10.699152	6.4616947	cluster 2
sims_26_0_0.918.jpg	-11.525852	0.9701794	cluster 2
sims_6_0_0.339.jpg	1.9154816	7.4784217	cluster 2
sims_16_0_0.986.jpg	-4.6399426	1.0021644	cluster 2
sims_14_0_0.99.jpg	-4.560497	-1.9114195	cluster 2
sims_21_0_0.642.jpg	3.5507448	12.742952	cluster 2
