	pc1	pc2	group
sims_35_0_0.354.jpg	-7.9188237	16.85138	cluster 1
sims_6_0_0.536.jpg	-20.01535	-5.9041934	cluster 1
sims_27_0_0.918.jpg	18.970337	-3.3200195	cluster 2
sims_5_0_0.594.jpg	-21.312798	-6.1708136	cluster 1
sims_25_0_0.924.jpg	17.465284	-2.1572974	cluster 2
sims_20_0_0.955.jpg	20.444302	-1.4803377	cluster 2
sims_4_0_0.077.jpg	14.586204	0.42087084	cluster 2
sims_2_0_0.067.jpg	13.982287	0.8686956	cluster 2
sims_7_0_0.636.jpg	-16.41086	-6.28028	cluster 1
sims_29_0_0.816.jpg	2.4334104	-7.592145	cluster 2
sims_17_0_0.956.jpg	18.208384	-3.9925818	cluster 2
sims_21_0_0.891.jpg	-20.130941	-5.3073792	cluster 1
sims_22_0_0.865.jpg	-20.304203	-7.1809573	cluster 1
sims_33_0_0.368.jpg	-7.054867	19.847359	cluster 1
sims_11_0_-0.911.jpg	1.0398133	2.0235696	cluster 1
sims_19_0_0.954.jpg	19.349548	1.6944364	cluster 2
sims_15_0_1.0.jpg	-16.265438	-5.0135193	cluster 1
sims_13_0_1.0.jpg	-14.792028	-3.7887752	cluster 1
sims_34_0_0.368.jpg	-9.483705	18.569468	cluster 1
sims_14_0_1.0.jpg	-10.8319435	0.6970799	cluster 1
sims_9_0_-0.914.jpg	2.3812606	9.358446	cluster 1
sims_26_0_0.919.jpg	22.730488	-5.0773907	cluster 2
sims_30_0_0.81.jpg	1.6425345	-7.560271	cluster 2
sims_12_0_-0.915.jpg	4.206042	11.568157	cluster 1
sims_18_0_0.957.jpg	19.255838	-1.0451051	cluster 2
sims_24_0_0.898.jpg	-16.526947	-5.061713	cluster 1
sims_3_0_0.079.jpg	15.761376	-0.6089136	cluster 2
sims_1_0_0.085.jpg	12.101611	-1.4994987	cluster 2
sims_8_0_0.625.jpg	-12.482416	-4.85482	cluster 1
sims_28_0_0.926.jpg	17.78416	-5.1001773	cluster 2
sims_32_0_0.811.jpg	1.1693546	-5.537618	cluster 2
sims_23_0_0.898.jpg	-19.593832	-5.93578	cluster 1
sims_36_0_0.357.jpg	-7.7387004	18.79146	cluster 1
sims_10_0_-0.914.jpg	1.427112	5.2330275	cluster 1
sims_31_0_0.811.jpg	3.4021497	-7.2065663	cluster 2
sims_16_0_1.0.jpg	-7.4786243	1.7522355	cluster 1
