	pc1	pc2	group
sims_31_0_0.795.jpg	0.1485601	-1.0643532	cluster 1
sims_18_0_0.948.jpg	-13.449857	5.2115493	cluster 1
sims_27_0_0.923.jpg	-7.032417	9.670958	cluster 1
sims_28_0_0.917.jpg	-11.043287	3.0201588	cluster 1
sims_21_0_0.477.jpg	-4.486857	-12.64078	cluster 1
sims_20_0_0.956.jpg	-12.77684	7.5654354	cluster 1
sims_10_0_-0.915.jpg	1.8089759	4.7546473	cluster 1
sims_36_0_0.408.jpg	18.109238	6.408277	cluster 1
sims_25_0_0.905.jpg	-13.00934	10.0839815	cluster 1
sims_4_0_0.101.jpg	15.071199	10.397551	cluster 1
sims_2_0_0.041.jpg	15.287534	6.4040484	cluster 1
sims_1_0_0.059.jpg	10.009072	-0.3317656	cluster 1
sims_26_0_0.924.jpg	-5.2693086	15.794731	cluster 1
sims_33_0_0.388.jpg	19.33631	10.960204	cluster 1
sims_32_0_0.779.jpg	-6.108147	-3.839048	cluster 2
sims_34_0_0.379.jpg	8.307576	-0.06458436	cluster 1
sims_19_0_0.934.jpg	-10.410217	9.40088	cluster 1
sims_29_0_0.761.jpg	1.3053485	-0.46980938	cluster 1
sims_6_0_-0.154.jpg	6.788287	-11.790657	cluster 1
sims_9_0_-0.885.jpg	-7.7155085	-2.1130273	cluster 1
sims_35_0_0.259.jpg	17.192945	5.3495584	cluster 1
sims_15_0_0.989.jpg	-7.0556965	-5.076589	cluster 1
sims_13_0_0.99.jpg	-3.277012	-3.70327	cluster 1
sims_24_0_0.595.jpg	3.3225753	-9.388603	cluster 1
sims_7_0_0.028.jpg	7.275415	-5.7198076	cluster 1
sims_5_0_-0.051.jpg	6.702309	-8.128451	cluster 1
sims_22_0_0.469.jpg	0.94051313	-11.1402025	cluster 1
sims_17_0_0.949.jpg	-10.107078	9.144206	cluster 1
sims_16_0_0.991.jpg	-0.5623775	-6.2676234	cluster 1
sims_23_0_0.598.jpg	-1.8362732	-12.592868	cluster 1
sims_14_0_0.988.jpg	-3.5545025	-5.6201034	cluster 1
sims_3_0_0.075.jpg	5.265053	3.5551465	cluster 1
sims_8_0_0.565.jpg	3.9270904	-9.060323	cluster 1
sims_11_0_-0.902.jpg	-12.068582	-1.6568153	cluster 1
sims_30_0_0.84.jpg	-2.5185478	-7.0283017	cluster 1
sims_12_0_-0.897.jpg	-8.51616	-0.024361258	cluster 1
