	pc1	pc2	group
sims_34_0_0.405.jpg	-6.8114767	16.371382	cluster 1
sims_28_0_0.915.jpg	18.096767	-2.0836732	cluster 2
sims_27_0_0.918.jpg	22.155245	-4.3011894	cluster 2
sims_19_0_0.955.jpg	14.036064	-9.265819	cluster 2
sims_3_0_0.085.jpg	6.120431	13.409331	cluster 2
sims_35_0_0.371.jpg	-8.259622	18.22452	cluster 1
sims_24_0_0.822.jpg	-18.399046	-3.1176229	cluster 2
sims_8_0_0.462.jpg	-14.668699	-6.8223605	cluster 2
sims_32_0_0.819.jpg	2.845471	-1.6296492	cluster 2
sims_11_0_-0.907.jpg	8.2095585	-3.2343452	cluster 2
sims_20_0_0.953.jpg	22.63438	-2.1171842	cluster 2
sims_2_0_0.106.jpg	14.315116	11.401407	cluster 2
sims_5_0_0.5.jpg	-19.51349	-6.242784	cluster 2
sims_1_0_0.089.jpg	-1.1553122	9.699533	cluster 2
sims_4_0_0.086.jpg	5.7341256	12.2355385	cluster 2
sims_6_0_0.198.jpg	-18.370306	-7.007469	cluster 2
sims_23_0_0.864.jpg	-18.020464	-8.084069	cluster 2
sims_31_0_0.8.jpg	-2.3363564	-9.263995	cluster 2
sims_15_0_0.998.jpg	-8.418694	1.7389512	cluster 2
sims_7_0_0.422.jpg	-16.635107	-5.8830595	cluster 2
sims_36_0_0.368.jpg	-10.40662	12.1447115	cluster 1
sims_9_0_-0.913.jpg	3.2637432	-3.5624788	cluster 2
sims_12_0_-0.916.jpg	9.142104	-4.074522	cluster 2
sims_18_0_0.947.jpg	16.565277	-3.384503	cluster 2
sims_26_0_0.921.jpg	19.184473	-3.1043484	cluster 2
sims_10_0_-0.903.jpg	6.463355	0.8862252	cluster 2
sims_17_0_0.95.jpg	20.551992	-6.319329	cluster 2
sims_16_0_0.999.jpg	-8.337833	2.4116142	cluster 2
sims_22_0_0.864.jpg	-17.552944	-3.489723	cluster 2
sims_13_0_0.999.jpg	-9.97832	-3.6232839	cluster 2
sims_29_0_0.811.jpg	4.117715	-5.3033514	cluster 2
sims_25_0_0.926.jpg	18.486345	0.22775109	cluster 2
sims_21_0_0.843.jpg	-16.844011	-7.6936226	cluster 2
sims_33_0_0.395.jpg	-6.907697	16.212732	cluster 1
sims_14_0_0.999.jpg	-11.124141	0.8551907	cluster 2
sims_30_0_0.819.jpg	1.818006	-6.210525	cluster 2
