	pc1	pc2	group
sims_20_0_0.954.jpg	14.549056	-4.4430075	cluster 1
sims_33_0_0.348.jpg	-8.181224	15.891449	cluster 2
sims_4_0_0.08.jpg	5.42528	10.45946	cluster 1
sims_27_0_0.918.jpg	17.501677	1.8018694	cluster 1
sims_9_0_-0.911.jpg	10.145251	-7.5972652	cluster 1
sims_21_0_0.737.jpg	-15.599791	-10.800967	cluster 2
sims_15_0_0.999.jpg	-10.247308	8.563999	cluster 2
sims_2_0_0.067.jpg	7.607866	10.065648	cluster 1
sims_22_0_0.815.jpg	-12.98141	-7.6519365	cluster 2
sims_12_0_-0.913.jpg	6.968616	-3.3466294	cluster 1
sims_3_0_0.1.jpg	6.247931	10.396692	cluster 1
sims_8_0_0.388.jpg	-15.744982	-7.2364926	cluster 2
sims_23_0_0.817.jpg	-16.140633	-4.465976	cluster 2
sims_17_0_0.956.jpg	12.299412	-9.220555	cluster 1
sims_30_0_0.808.jpg	4.17615	4.5716705	cluster 1
sims_26_0_0.922.jpg	16.955671	-3.0499616	cluster 1
sims_32_0_0.812.jpg	8.497088	3.0314376	cluster 1
sims_7_0_0.1.jpg	-17.395199	-8.556893	cluster 2
sims_36_0_0.366.jpg	-11.091892	17.77803	cluster 2
sims_14_0_0.998.jpg	-4.9988914	-1.527476	cluster 2
sims_19_0_0.961.jpg	11.758551	-8.802346	cluster 1
sims_28_0_0.918.jpg	16.760115	1.1298497	cluster 1
sims_31_0_0.806.jpg	6.2057714	-5.884032	cluster 1
sims_10_0_-0.902.jpg	9.67258	0.6028397	cluster 1
sims_18_0_0.954.jpg	11.134149	0.9764065	cluster 1
sims_25_0_0.929.jpg	17.747465	-0.73329973	cluster 1
sims_16_0_0.999.jpg	-7.678593	-0.44635582	cluster 2
sims_11_0_-0.906.jpg	1.3938774	-3.9039176	cluster 1
sims_6_0_0.578.jpg	-13.879139	-8.8181	cluster 2
sims_13_0_0.999.jpg	-5.3222117	-6.8149223	cluster 2
sims_1_0_0.091.jpg	3.4861696	7.4350295	cluster 1
sims_35_0_0.365.jpg	-10.89086	16.638231	cluster 2
sims_5_0_0.647.jpg	-15.813854	-6.7142487	cluster 2
sims_29_0_0.798.jpg	1.7474408	-8.255706	cluster 1
sims_24_0_0.673.jpg	-11.797904	-5.3697205	cluster 2
sims_34_0_0.348.jpg	-12.516234	14.297179	cluster 2
