	pc1	pc2	group
sims_36_0_0.386.jpg	-10.319194	14.987709	cluster 2
sims_25_0_0.917.jpg	15.389968	-8.779059	cluster 1
sims_20_0_0.957.jpg	15.503527	-8.49764	cluster 1
sims_7_0_0.603.jpg	-17.049316	-3.0680044	cluster 1
sims_23_0_0.74.jpg	-13.116457	-1.6737909	cluster 1
sims_4_0_0.08.jpg	12.513697	15.175974	cluster 2
sims_31_0_0.818.jpg	0.7217127	-10.57011	cluster 1
sims_28_0_0.917.jpg	15.555372	-7.650172	cluster 1
sims_16_0_0.998.jpg	-5.913054	-5.6795087	cluster 1
sims_8_0_0.462.jpg	-16.732481	-1.8714353	cluster 1
sims_29_0_0.8.jpg	5.2706604	-2.5738878	cluster 1
sims_5_0_0.458.jpg	-18.874292	-0.86032665	cluster 1
sims_26_0_0.931.jpg	20.767017	-2.0283442	cluster 1
sims_19_0_0.952.jpg	18.177437	-2.1545818	cluster 1
sims_13_0_0.998.jpg	-7.4561214	-4.199866	cluster 1
sims_2_0_0.125.jpg	6.563342	15.528034	cluster 2
sims_24_0_0.728.jpg	-10.1503525	-9.648482	cluster 1
sims_17_0_0.954.jpg	14.840389	-6.13137	cluster 1
sims_18_0_0.949.jpg	18.219965	-0.048604757	cluster 1
sims_35_0_0.372.jpg	-9.322718	14.799487	cluster 2
sims_11_0_-0.914.jpg	3.5418818	-3.5369613	cluster 1
sims_14_0_0.998.jpg	-9.187835	0.47328055	cluster 1
sims_1_0_0.1.jpg	12.786231	16.679794	cluster 2
sims_15_0_0.998.jpg	-9.669349	-5.464095	cluster 1
sims_22_0_0.81.jpg	-17.712513	-3.38299	cluster 1
sims_3_0_0.087.jpg	9.575243	16.893572	cluster 2
sims_34_0_0.35.jpg	-4.623042	16.615818	cluster 2
sims_27_0_0.917.jpg	14.859505	-5.6911097	cluster 1
sims_9_0_-0.915.jpg	1.1273937	-7.0147433	cluster 1
sims_21_0_0.823.jpg	-14.170887	-5.980285	cluster 1
sims_32_0_0.79.jpg	0.25659728	-5.960328	cluster 1
sims_33_0_0.354.jpg	-4.5543313	15.958717	cluster 2
sims_6_0_0.429.jpg	-18.34444	0.17266695	cluster 1
sims_12_0_-0.912.jpg	1.880474	-9.029163	cluster 1
sims_30_0_0.833.jpg	1.0131652	-1.4910378	cluster 1
sims_10_0_-0.914.jpg	-1.3672	-4.299149	cluster 1
