	pc1	pc2	group
sims_32_0_0.784.jpg	-7.870613	-6.524693	cluster 2
sims_26_0_0.935.jpg	-11.832731	2.8228762	cluster 2
sims_7_0_0.295.jpg	11.641537	-10.666475	cluster 2
sims_23_0_0.693.jpg	4.981963	-11.140089	cluster 2
sims_30_0_0.824.jpg	-4.5139284	-4.063914	cluster 2
sims_21_0_0.693.jpg	4.507087	-11.103778	cluster 2
sims_16_0_0.997.jpg	1.433005	-2.2125301	cluster 2
sims_25_0_0.915.jpg	-16.51451	9.573049	cluster 2
sims_5_0_0.612.jpg	13.308526	-12.328588	cluster 2
sims_22_0_0.719.jpg	10.412043	-8.662531	cluster 2
sims_34_0_0.36.jpg	13.030279	8.202695	cluster 1
sims_28_0_0.924.jpg	-7.2912383	9.298004	cluster 2
sims_29_0_0.825.jpg	-6.583514	-6.0185857	cluster 2
sims_11_0_-0.914.jpg	-2.050398	4.3175664	cluster 2
sims_12_0_-0.898.jpg	-5.056924	-0.012855333	cluster 2
sims_1_0_0.114.jpg	0.6851994	17.273365	cluster 2
sims_8_0_0.532.jpg	16.35967	-8.021754	cluster 2
sims_14_0_0.998.jpg	3.0563655	-3.2954018	cluster 2
sims_2_0_0.059.jpg	4.027662	16.101074	cluster 2
sims_10_0_-0.908.jpg	-8.374811	2.4548738	cluster 2
sims_18_0_0.95.jpg	-17.278	1.441574	cluster 2
sims_27_0_0.91.jpg	-15.074062	-1.6345329	cluster 2
sims_31_0_0.787.jpg	-7.4986434	-9.27343	cluster 2
sims_4_0_0.038.jpg	3.5864198	8.823465	cluster 2
sims_13_0_0.996.jpg	-1.9678015	-3.0075576	cluster 2
sims_17_0_0.959.jpg	-15.916795	4.2286234	cluster 2
sims_6_0_0.426.jpg	14.335671	-7.874523	cluster 2
sims_19_0_0.947.jpg	-17.845774	-8.069109	cluster 2
sims_35_0_0.361.jpg	18.138924	4.916454	cluster 1
sims_3_0_0.09.jpg	5.3890643	18.230556	cluster 2
sims_9_0_-0.922.jpg	-2.8840215	3.2391348	cluster 2
sims_24_0_0.678.jpg	5.5652976	-7.8805594	cluster 2
sims_15_0_0.997.jpg	0.2218398	-0.7865458	cluster 2
sims_33_0_0.384.jpg	16.690966	9.440993	cluster 1
sims_20_0_0.961.jpg	-15.831021	-6.82889	cluster 2
sims_36_0_0.331.jpg	17.013266	9.042043	cluster 1
