	pc1	pc2	group
sims_5_0_0.716.jpg	-17.964628	-1.0278778	cluster 2
sims_23_0_0.893.jpg	-14.079743	-1.4653516	cluster 2
sims_34_0_0.363.jpg	-7.1286497	9.822313	cluster 2
sims_7_0_0.716.jpg	-17.964622	-1.0278769	cluster 2
sims_20_0_0.956.jpg	22.576048	0.17574191	cluster 2
sims_3_0_0.091.jpg	17.219608	-2.5990083	cluster 2
sims_8_0_0.716.jpg	-17.964622	-1.0278767	cluster 2
sims_33_0_0.363.jpg	-7.1286497	9.822317	cluster 2
sims_12_0_-0.913.jpg	-4.565471	17.464687	cluster 2
sims_19_0_0.956.jpg	22.576048	0.17574196	cluster 2
sims_18_0_0.956.jpg	22.576048	0.17574196	cluster 2
sims_17_0_0.956.jpg	22.576048	0.17574196	cluster 2
sims_30_0_0.811.jpg	2.2214944	3.3466828	cluster 2
sims_25_0_0.922.jpg	22.744528	-9.062585	cluster 2
sims_36_0_0.363.jpg	-7.12865	9.822317	cluster 2
sims_27_0_0.922.jpg	22.744528	-9.062585	cluster 2
sims_26_0_0.922.jpg	22.744528	-9.062585	cluster 2
sims_28_0_0.922.jpg	22.744528	-9.062585	cluster 2
sims_22_0_0.893.jpg	-14.079743	-1.4653493	cluster 2
sims_6_0_0.716.jpg	-17.964622	-1.0278766	cluster 2
sims_15_0_1.0.jpg	-21.02319	-16.654617	cluster 1
sims_9_0_-0.913.jpg	-4.565471	17.464687	cluster 2
sims_35_0_0.363.jpg	-7.12865	9.822317	cluster 2
sims_13_0_1.0.jpg	-21.02319	-16.654617	cluster 1
sims_24_0_0.893.jpg	-14.079743	-1.4653493	cluster 2
sims_14_0_1.0.jpg	-21.02319	-16.654617	cluster 1
sims_21_0_0.893.jpg	-14.079743	-1.4653493	cluster 2
sims_2_0_0.091.jpg	17.21961	-2.5990083	cluster 2
sims_4_0_0.091.jpg	17.21961	-2.5990083	cluster 2
sims_1_0_0.091.jpg	17.21961	-2.5990083	cluster 2
sims_29_0_0.811.jpg	2.2214944	3.3466828	cluster 2
sims_11_0_-0.913.jpg	-4.565471	17.464687	cluster 2
sims_10_0_-0.913.jpg	-4.56547	17.464687	cluster 2
sims_32_0_0.811.jpg	2.221495	3.3466828	cluster 2
sims_31_0_0.811.jpg	2.221495	3.3466828	cluster 2
sims_16_0_1.0.jpg	-21.023188	-16.654615	cluster 1
