	pc1	pc2	group
sims_5_0_0.716.jpg	-17.96461	-1.0278745	cluster 2
sims_23_0_0.893.jpg	-14.079737	-1.4653425	cluster 2
sims_34_0_0.363.jpg	-7.1286607	9.822314	cluster 2
sims_7_0_0.716.jpg	-17.964622	-1.0278752	cluster 2
sims_20_0_0.956.jpg	22.576046	0.1757463	cluster 2
sims_3_0_0.091.jpg	17.219608	-2.5990112	cluster 2
sims_8_0_0.716.jpg	-17.964622	-1.0278763	cluster 2
sims_33_0_0.363.jpg	-7.1286607	9.822312	cluster 2
sims_12_0_-0.913.jpg	-4.5654902	17.464699	cluster 2
sims_19_0_0.956.jpg	22.576048	0.17574641	cluster 2
sims_18_0_0.956.jpg	22.576048	0.17574641	cluster 2
sims_17_0_0.956.jpg	22.576048	0.17574641	cluster 2
sims_30_0_0.811.jpg	2.221492	3.3466942	cluster 2
sims_25_0_0.922.jpg	22.744535	-9.062577	cluster 2
sims_36_0_0.363.jpg	-7.1286607	9.822312	cluster 2
sims_27_0_0.922.jpg	22.744535	-9.062577	cluster 2
sims_26_0_0.922.jpg	22.744535	-9.062577	cluster 2
sims_28_0_0.922.jpg	22.744535	-9.062577	cluster 2
sims_22_0_0.893.jpg	-14.079738	-1.4653426	cluster 2
sims_6_0_0.716.jpg	-17.964622	-1.0278761	cluster 2
sims_15_0_1.0.jpg	-21.023172	-16.654646	cluster 1
sims_9_0_-0.913.jpg	-4.5654902	17.464699	cluster 2
sims_35_0_0.363.jpg	-7.1286607	9.822312	cluster 2
sims_13_0_1.0.jpg	-21.023172	-16.654646	cluster 1
sims_24_0_0.893.jpg	-14.079738	-1.4653426	cluster 2
sims_14_0_1.0.jpg	-21.023172	-16.654646	cluster 1
sims_21_0_0.893.jpg	-14.079738	-1.4653426	cluster 2
sims_2_0_0.091.jpg	17.219608	-2.5990107	cluster 2
sims_4_0_0.091.jpg	17.219608	-2.5990107	cluster 2
sims_1_0_0.091.jpg	17.219608	-2.5990107	cluster 2
sims_29_0_0.811.jpg	2.221492	3.3466942	cluster 2
sims_11_0_-0.913.jpg	-4.5654902	17.464699	cluster 2
sims_10_0_-0.913.jpg	-4.5654907	17.464699	cluster 2
sims_32_0_0.811.jpg	2.221492	3.346694	cluster 2
sims_31_0_0.811.jpg	2.221492	3.346694	cluster 2
sims_16_0_1.0.jpg	-21.023172	-16.654646	cluster 1
