	pc1	pc2	group
sims_11_0_-0.924.jpg	-2.158161	-2.6315546	cluster 2
sims_29_0_0.781.jpg	-0.54867953	6.8521557	cluster 2
sims_26_0_0.935.jpg	-13.605735	-4.354797	cluster 2
sims_24_0_0.645.jpg	0.4622471	12.638266	cluster 1
sims_28_0_0.92.jpg	-10.160818	4.5281277	cluster 2
sims_2_0_0.156.jpg	14.88479	-7.4647026	cluster 1
sims_17_0_0.946.jpg	-16.090502	-6.452034	cluster 2
sims_4_0_0.058.jpg	11.142158	-5.982077	cluster 1
sims_15_0_0.987.jpg	-6.708986	2.954659	cluster 2
sims_12_0_-0.883.jpg	-12.340183	-4.397105	cluster 2
sims_9_0_-0.892.jpg	-9.846064	-1.8718736	cluster 2
sims_19_0_0.964.jpg	-14.56437	4.1415777	cluster 2
sims_5_0_-0.059.jpg	10.118213	9.354857	cluster 1
sims_18_0_0.934.jpg	-13.368474	-11.29923	cluster 2
sims_13_0_0.986.jpg	-9.100853	9.964706	cluster 2
sims_21_0_0.651.jpg	9.142166	8.648668	cluster 1
sims_8_0_0.526.jpg	5.288067	9.734368	cluster 1
sims_10_0_-0.904.jpg	-12.049961	-3.3088691	cluster 2
sims_32_0_0.812.jpg	-4.5064297	6.2147403	cluster 2
sims_3_0_0.071.jpg	7.3553047	-3.6632557	cluster 1
sims_22_0_0.65.jpg	4.193294	11.739338	cluster 1
sims_27_0_0.926.jpg	-12.897453	-9.272396	cluster 2
sims_33_0_0.314.jpg	14.840871	-9.056243	cluster 1
sims_35_0_0.352.jpg	20.656618	-8.25716	cluster 1
sims_36_0_0.368.jpg	19.112757	-6.835278	cluster 1
sims_30_0_0.8.jpg	-0.6441252	-1.5192685	cluster 2
sims_7_0_-0.136.jpg	12.614083	6.442399	cluster 1
sims_31_0_0.785.jpg	-1.0506109	5.522156	cluster 2
sims_1_0_0.104.jpg	11.077489	-12.633015	cluster 1
sims_16_0_0.992.jpg	1.2218982	-0.5363755	cluster 2
sims_6_0_-0.598.jpg	16.959858	5.4225154	cluster 1
sims_23_0_0.574.jpg	-2.6918292	14.304988	cluster 1
sims_34_0_0.329.jpg	13.148689	-7.3953156	cluster 1
sims_14_0_0.99.jpg	-2.3890398	1.7883122	cluster 2
sims_20_0_0.94.jpg	-16.176367	-3.7299938	cluster 2
sims_25_0_0.891.jpg	-11.319878	-9.591299	cluster 2
