	pc1	pc2	group
sims_8_0_0.35.jpg	-14.460176	-6.5350857	cluster 1
sims_18_0_0.948.jpg	14.386685	-8.103063	cluster 1
sims_20_0_0.95.jpg	15.495086	3.859304	cluster 1
sims_1_0_0.135.jpg	-3.6314504	9.090619	cluster 1
sims_4_0_0.081.jpg	0.58766514	13.081594	cluster 1
sims_16_0_0.998.jpg	-5.722357	-1.9169453	cluster 1
sims_25_0_0.901.jpg	14.159673	-2.4701672	cluster 1
sims_35_0_0.343.jpg	-13.382632	9.561652	cluster 1
sims_9_0_-0.905.jpg	8.150495	0.61416495	cluster 1
sims_7_0_0.255.jpg	-16.90759	-6.154262	cluster 1
sims_11_0_-0.907.jpg	3.9399295	4.7407293	cluster 1
sims_17_0_0.943.jpg	19.920816	1.302868	cluster 1
sims_32_0_0.813.jpg	7.586877	-2.5892122	cluster 1
sims_2_0_0.093.jpg	-2.1321673	16.88707	cluster 1
sims_21_0_0.524.jpg	-7.6301928	-9.639814	cluster 1
sims_14_0_0.996.jpg	-1.0765826	-9.023113	cluster 1
sims_6_0_0.294.jpg	-16.042542	-8.070489	cluster 1
sims_15_0_0.998.jpg	-6.451617	1.4410484	cluster 1
sims_5_0_0.275.jpg	-14.536726	-1.9137475	cluster 1
sims_31_0_0.819.jpg	2.1938267	0.70728093	cluster 1
sims_28_0_0.918.jpg	14.183118	-2.261397	cluster 1
sims_34_0_0.371.jpg	-9.826345	10.564122	cluster 1
sims_27_0_0.929.jpg	12.6848345	0.86884415	cluster 1
sims_36_0_0.304.jpg	-13.166895	9.238215	cluster 1
sims_13_0_0.996.jpg	2.3102896	-7.3136706	cluster 1
sims_24_0_0.797.jpg	-9.303864	-11.845699	cluster 1
sims_33_0_0.399.jpg	-14.693291	7.287493	cluster 1
sims_22_0_0.705.jpg	-8.855405	-7.0245657	cluster 1
sims_3_0_0.098.jpg	-4.3499565	14.3931465	cluster 1
sims_12_0_-0.904.jpg	7.032899	-2.592003	cluster 1
sims_29_0_0.792.jpg	5.64037	-10.001486	cluster 1
sims_23_0_0.623.jpg	-7.0984344	-10.495091	cluster 1
sims_26_0_0.918.jpg	15.805811	2.9203012	cluster 1
sims_10_0_-0.914.jpg	2.504742	0.55931574	cluster 1
sims_30_0_0.819.jpg	5.1794076	-0.60017794	cluster 2
sims_19_0_0.946.jpg	17.505701	1.43222	cluster 1
