	pc1	pc2	group
sims_6_0_0.642.jpg	-15.422553	-7.776072	cluster 2
sims_9_0_-0.92.jpg	3.8984637	-2.8371322	cluster 2
sims_16_0_0.996.jpg	1.4210453	-2.5251255	cluster 2
sims_27_0_0.933.jpg	15.519011	-0.6698518	cluster 2
sims_21_0_0.806.jpg	-16.99698	-6.8896947	cluster 2
sims_5_0_0.524.jpg	-18.906973	-3.8429022	cluster 2
sims_17_0_0.951.jpg	13.811283	0.44979236	cluster 2
sims_20_0_0.96.jpg	12.933078	-3.4950304	cluster 2
sims_33_0_0.333.jpg	-10.970505	16.05769	cluster 1
sims_19_0_0.952.jpg	18.957678	2.9011135	cluster 2
sims_25_0_0.92.jpg	13.942889	-0.060446147	cluster 2
sims_8_0_0.765.jpg	-17.151524	-5.820298	cluster 2
sims_35_0_0.306.jpg	-9.230538	16.371864	cluster 1
sims_10_0_-0.91.jpg	8.827595	-9.84902	cluster 2
sims_30_0_0.8.jpg	5.163205	-5.720956	cluster 2
sims_4_0_0.087.jpg	-1.4348218	5.7937284	cluster 1
sims_28_0_0.918.jpg	16.301529	5.8536263	cluster 2
sims_12_0_-0.907.jpg	1.3539274	-1.7836531	cluster 2
sims_13_0_0.996.jpg	5.218296	-7.553021	cluster 2
sims_18_0_0.943.jpg	17.91831	9.88314	cluster 2
sims_36_0_0.349.jpg	-16.52848	12.48873	cluster 1
sims_26_0_0.916.jpg	11.131801	3.6424348	cluster 2
sims_1_0_0.083.jpg	-1.1298903	14.306392	cluster 1
sims_3_0_0.133.jpg	0.63338095	15.803065	cluster 1
sims_32_0_0.805.jpg	4.9744205	-8.534167	cluster 2
sims_34_0_0.327.jpg	-14.361418	9.73545	cluster 1
sims_29_0_0.817.jpg	8.46892	-8.849548	cluster 2
sims_2_0_0.13.jpg	-4.938228	14.722053	cluster 1
sims_23_0_0.745.jpg	-15.590448	-7.6247644	cluster 2
sims_15_0_0.997.jpg	1.9171667	-7.063186	cluster 2
sims_7_0_0.242.jpg	-15.934269	-8.051492	cluster 2
sims_31_0_0.81.jpg	7.273317	-5.009206	cluster 2
sims_24_0_0.775.jpg	-5.0256143	-11.16271	cluster 2
sims_22_0_0.79.jpg	-9.593953	-7.8615575	cluster 2
sims_14_0_0.995.jpg	1.2149119	-6.0036526	cluster 2
sims_11_0_-0.917.jpg	2.335946	0.97439194	cluster 2
