	pc1	pc2	group
sims_18_0_0.948.jpg	15.104212	-10.354418	cluster 1
sims_11_0_-0.912.jpg	2.196587	-6.813536	cluster 2
sims_28_0_0.917.jpg	20.838411	1.1437428	cluster 1
sims_29_0_0.81.jpg	3.7953222	-5.7608256	cluster 2
sims_20_0_0.956.jpg	16.943401	-4.7262692	cluster 1
sims_24_0_0.862.jpg	-15.454654	-4.502318	cluster 2
sims_21_0_0.78.jpg	-16.332298	-2.9773037	cluster 2
sims_32_0_0.817.jpg	3.343376	-9.00867	cluster 2
sims_15_0_0.999.jpg	-5.2574296	2.027368	cluster 2
sims_7_0_0.435.jpg	-16.664692	-1.9938277	cluster 2
sims_3_0_0.108.jpg	9.706325	10.84931	cluster 1
sims_36_0_0.376.jpg	-6.4250846	16.502678	cluster 2
sims_6_0_0.281.jpg	-15.802258	-3.5295355	cluster 2
sims_19_0_0.952.jpg	20.399385	1.3938351	cluster 1
sims_30_0_0.811.jpg	-2.2739425	-8.907087	cluster 2
sims_8_0_0.673.jpg	-16.968481	-5.970392	cluster 2
sims_25_0_0.916.jpg	18.06614	-1.7571408	cluster 1
sims_5_0_0.519.jpg	-17.97145	-5.5152774	cluster 2
sims_14_0_0.998.jpg	-5.895942	1.1438748	cluster 2
sims_4_0_0.113.jpg	9.183258	10.996695	cluster 1
sims_1_0_0.093.jpg	4.9926286	11.325362	cluster 1
sims_27_0_0.916.jpg	14.922729	0.5361151	cluster 1
sims_35_0_0.363.jpg	-7.478263	12.62077	cluster 2
sims_12_0_-0.907.jpg	3.3278034	-2.5361161	cluster 2
sims_17_0_0.947.jpg	14.369484	-7.488148	cluster 1
sims_16_0_0.999.jpg	-8.428339	3.1740673	cluster 2
sims_9_0_-0.914.jpg	1.2897351	-11.8203125	cluster 2
sims_31_0_0.813.jpg	2.3383567	-9.012746	cluster 2
sims_13_0_0.999.jpg	-9.713786	1.3058974	cluster 2
sims_10_0_-0.922.jpg	-0.14328378	-4.005668	cluster 2
sims_2_0_0.078.jpg	11.231268	14.147704	cluster 1
sims_33_0_0.34.jpg	-8.121481	13.029627	cluster 2
sims_23_0_0.735.jpg	-12.856308	-6.524158	cluster 2
sims_22_0_0.79.jpg	-12.730939	-0.12142369	cluster 2
sims_26_0_0.923.jpg	12.996184	-3.0533955	cluster 1
sims_34_0_0.378.jpg	-6.525976	16.181526	cluster 2
